No.,Player Name,Position,Player_ID,Year,Country_Name,Nationality,Age,Height,Total Points,Average by Match,Attack Points,Efficiency,Attack Avg Points,Block Points,Block Success,Block Avg Points,Serve Points,Serve Success,Serve Avg Points
72.0,Poreba Mateusz,MB,164124,2022,Poland,Poland,23.0,203,26,3.25,16,66.67%,2.00,4,13.79%,0.50,6,10.71%,0.75
96.0,Firlej Jan,S,153387,2022,Poland,Poland,26.0,187,6,0.75,3,50.00%,0.38,2,10.00%,0.25,1,2.17%,0.12
99.0,Huber Norbert,MB,152869,2022,Poland,Poland,24.0,204,-,-,-,-,-,-,-,-,-,-,-
,Nikola GRBIĆ,COACH,N/A,2022,Poland,,,,,,,,,,,,,,
1.0,Nikolic Uros,OH,181313,2022,Serbia,Serbia,24.0,210,3,0.75,2,50.00%,0.50,1,14.29%,0.25,0,0.00%,0.00
4.0,Petric Nemanja,OH,120250,2022,Serbia,Serbia,35.0,203,8,1.00,7,36.84%,0.88,1,100%,0.12,0,0.00%,0.00
5.0,Katic Milan,OH,132458,2022,Serbia,Serbia,29.0,202,26,2.17,23,44.23%,1.92,2,14.29%,0.17,1,2.56%,0.08
6.0,Pekovic Nikola,L,150383,2022,Serbia,Serbia,33.0,176,0,0.00,0,-,-,0,-,-,0,-,-
7.0,Krsmanovic Petar,MB,146579,2022,Serbia,Serbia,32.0,205,10,1.25,9,50.00%,1.12,1,5.56%,0.12,0,0.00%,0.00
8.0,Ivovic Marko,OH,132022,2022,Serbia,Serbia,32.0,194,-,-,-,-,-,-,-,-,-,-,-
9.0,Jovovic Nikola,S,124911,2022,Serbia,Serbia,31.0,197,11,0.92,7,63.64%,0.58,3,8.11%,0.25,1,1.03%,0.08
10.0,Kujundžić Miran,OH,162122,2022,Serbia,Serbia,25.0,196,119,9.92,98,50.26%,8.17,6,23.08%,0.50,15,10.14%,1.25
12.0,Peric Pavle,OH,173251,2022,Serbia,Serbia,24.0,207,130,10.83,109,45.99%,9.08,11,25.58%,0.92,10,7.81%,0.83
14.0,Atanasijevic Aleksandar,O,124915,2022,Serbia,Serbia,31.0,200,96,12.00,89,52.66%,11.12,1,5.56%,0.12,6,6.98%,0.75
15.0,Masulovic Nemanja,MB,150382,2022,Serbia,Serbia,27.0,205,65,5.42,52,60.47%,4.33,11,12.79%,0.92,2,1.98%,0.17
18.0,Podrascanin Marko,MB,116525,2022,Serbia,Serbia,35.0,204,28,3.50,18,56.25%,2.25,8,25.00%,1.00,2,3.85%,0.25
20.0,Lisinac Srecko,MB,136362,2022,Serbia,Serbia,30.0,205,49,6.12,40,71.43%,5.00,8,21.05%,1.00,1,1.37%,0.12
21.0,Todorovic Vuk,S,173250,2022,Serbia,Serbia,24.0,190,1,0.12,1,100%,0.12,0,0.00%,0.00,0,0.00%,0.00
22.0,Vilimanovic Andrija,S,168275,2022,Serbia,Serbia,27.0,195,-,-,-,-,-,-,-,-,-,-,-
23.0,Vucicevic Bozidar,O,168276,2022,Serbia,Serbia,24.0,205,19,4.75,13,34.21%,3.25,2,50.00%,0.50,4,20.00%,1.00
25.0,Tadic Luka,OH,173252,2022,Serbia,Serbia,22.0,204,-,-,-,-,-,-,-,-,-,-,-
28.0,Marinovic Lazar,OH,189274,2022,Serbia,Serbia,24.0,197,12,3.00,11,35.48%,2.75,1,7.69%,0.25,0,0.00%,0.00
29.0,Nedeljkovic Aleksandar,MB,164985,2022,Serbia,Serbia,25.0,205,28,7.00,18,54.55%,4.50,7,14.58%,1.75,3,5.00%,0.75
30.0,Koprivica Lazar,L,124920,2022,Serbia,Serbia,31.0,200,0,0.00,0,-,-,0,-,-,0,-,-
32.0,Meljanac Nikola,O,189272,2022,Serbia,Serbia,24.0,201,45,5.62,42,53.16%,5.25,1,11.11%,0.12,2,5.56%,0.25
33.0,Petkovic Dusan,O,124912,2022,Serbia,Serbia,31.0,202,49,12.25,42,44.21%,10.50,2,11.76%,0.50,5,10.00%,1.25
35.0,Rudic Andrej,MB,189276,2022,Serbia,Serbia,24.0,201,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
