No.,Player Name,Position,Player_ID,Year,Country_Name,Nationality,Age,Height,Total Points,Average by Match,Attack Points,Efficiency,Attack Avg Points,Block Points,Block Success,Block Avg Points,Serve Points,Serve Success,Serve Avg Points
14.0,Correia De Souza Douglas,OH,142741,2021,Brazil,Brazil,26.0,199,119,7.00,101,52.06%,5.94,8,20.00%,0.47,10,8.70%,0.59
15.0,Nascimento Maique Reis,L,161939,2021,Brazil,Brazil,24.0,187,0,0.00,0,-,-,0,-,-,0,-,-
16.0,Saatkamp Lucas,MB,116081,2021,Brazil,Brazil,36.0,209,24,4.80,19,46.34%,3.80,3,10.00%,0.60,2,3.85%,0.40
17.0,Hoss Thales,L,118916,2021,Brazil,Brazil,32.0,190,0,0.00,0,-,-,0,-,-,0,-,-
18.0,Souza Ricardo Lucarelli,OH,136468,2021,Brazil,Brazil,30.0,196,160,10.67,131,52.82%,8.73,12,21.05%,0.80,17,9.55%,1.13
21.0,Souza Alan,O,136947,2021,Brazil,Brazil,28.0,202,96,6.00,85,55.92%,5.31,8,21.05%,0.50,3,3.90%,0.19
23.0,Resende Gualberto Flavio,MB,136956,2021,Brazil,Brazil,28.0,199,59,3.47,45,49.45%,2.65,10,12.35%,0.59,4,2.99%,0.24
,CARLOS SCHWANKE,COACH,N/A,2021,Brazil,,,,,,,,,,,,,,
1.0,Karyagin Denis,OH,174445,2021,Bulgaria,Bulgaria,19.0,206,63,4.20,57,40.14%,3.80,2,10.00%,0.13,4,5.56%,0.27
2.0,Chavdarov Stefan,MB,180588,2021,Bulgaria,Bulgaria,26.0,202,39,3.00,28,57.14%,2.15,9,15.00%,0.69,2,2.27%,0.15
3.0,Kolev Nikolay,MB,173067,2021,Bulgaria,Bulgaria,24.0,204,59,3.93,47,58.02%,3.13,10,12.05%,0.67,2,2.00%,0.13
4.0,Atanasov Martin,OH,156676,2021,Bulgaria,Bulgaria,25.0,197,64,4.27,45,35.16%,3.00,6,28.57%,0.40,13,15.85%,0.87
6.0,Stankov Vladimir,S,162124,2021,Bulgaria,Bulgaria,25.0,190,8,0.80,3,50.00%,0.30,3,12.50%,0.30,2,4.00%,0.20
9.0,Seganov Georgi,S,137012,2021,Bulgaria,Bulgaria,28.0,197,29,1.93,11,61.11%,0.73,10,23.26%,0.67,8,5.88%,0.53
10.0,Stankov Svetoslav,S,181285,2021,Bulgaria,Bulgaria,25.0,195,1,0.11,0,-,-,0,0.00%,0.00,1,20.00%,0.11
11.0,Grozdanov Aleks,MB,152619,2021,Bulgaria,Bulgaria,23.0,208,23,7.67,11,47.83%,3.67,7,20.59%,2.33,5,13.89%,1.67
12.0,Petrov Georgi,OH,173010,2021,Bulgaria,Bulgaria,22.0,197,42,2.80,37,38.95%,2.47,5,17.24%,0.33,0,0.00%,0.00
14.0,Asparuhov Asparuh,OH,168269,2021,Bulgaria,Bulgaria,21.0,201,125,8.33,106,47.53%,7.07,8,14.81%,0.53,11,8.53%,0.73
15.0,Lyutskanov Gordan,OH,152624,2021,Bulgaria,Bulgaria,24.0,197,12,1.33,11,32.35%,1.22,1,14.29%,0.11,0,0.00%,0.00
16.0,Ivanov Vladislav,L,118484,2021,Bulgaria,Bulgaria,35.0,188,0,0.00,0,-,-,0,-,-,0,-,-
19.0,Sokolov Tsvetan,O,118488,2021,Bulgaria,Bulgaria,32.0,206,80,10.00,68,48.57%,8.50,5,25.00%,0.62,7,12.50%,0.88
22.0,Kartev Nikolay,MB,162123,2021,Bulgaria,Bulgaria,26.0,204,48,3.69,37,55.22%,2.85,10,16.67%,0.77,1,1.05%,0.08
24.0,Ivanov Martin,L,173009,2021,Bulgaria,Bulgaria,30.0,190,0,0.00,0,-,-,0,-,-,0,-,-
25.0,Parapunov Radoslav,O,150277,2021,Bulgaria,Bulgaria,24.0,205,97,6.47,82,41.41%,5.47,12,25.53%,0.80,3,3.57%,0.20
26.0,Ivanov Svetoslav,OH,164812,2021,Bulgaria,Bulgaria,21.0,197,38,3.45,31,40.79%,2.82,4,28.57%,0.36,3,5.66%,0.27
,Silvano Prandi,COACH,N/A,2021,Bulgaria,,,,,,,,,,,,,,
1.0,Sanders Tyler,S,136299,2021,Canada,Canada,30.0,191,5,0.62,1,20.00%,0.12,3,13.04%,0.38,1,1.54%,0.12
2.0,Perrin John Gordon,OH,124556,2021,Canada,Canada,32.0,201,128,9.85,109,46.38%,8.38,12,21.05%,0.92,7,4.67%,0.54
3.0,Marshall Steven,L,139429,2021,Canada,Canada,32.0,191,9,0.69,3,13.64%,0.23,6,50.00%,0.46,0,0.00%,0.00
4.0,Hoag Nicholas,OH,136291,2021,Canada,Canada,29.0,200,121,8.07,95,42.99%,6.33,9,21.43%,0.60,17,11.56%,1.13
6.0,Pereira Jordan,L,157334,2021,Canada,Canada,24.0,185,0,0.00,0,-,-,0,-,-,0,-,-
7.0,Maar Stephen Timothy,OH,140061,2021,Canada,Canada,27.0,201,49,4.90,40,41.24%,4.00,7,35.00%,0.70,2,5.26%,0.20
8.0,Blankenau Jay,S,124553,2021,Canada,Canada,32.0,194,16,1.14,11,42.31%,0.79,3,12.50%,0.21,2,1.98%,0.14
10.0,Sclater Ryan Joseph,O,140428,2021,Canada,Canada,28.0,200,97,6.47,85,46.96%,5.67,6,9.68%,0.40,6,6.19%,0.40
11.0,Jansen Vandoorn Daniel,MB,139499,2021,Canada,Canada,32.0,207,42,2.80,32,55.17%,2.13,10,20.00%,0.67,0,0.00%,0.00
12.0,Van Berkel Lucas,MB,136296,2021,Canada,Canada,30.0,210,59,4.21,38,60.32%,2.71,20,24.39%,1.43,1,0.99%,0.07
13.0,Vernon-Evans Sharone,O,157321,2021,Canada,Canada,23.0,206,129,8.60,103,48.13%,6.87,16,29.09%,1.07,10,8.77%,0.67
14.0,Loeppky Eric,OH,157327,2021,Canada,Canada,23.0,197,62,4.43,58,45.31%,4.14,2,7.41%,0.14,2,3.08%,0.14
17.0,Vigrass Graham,MB,124551,2021,Canada,Canada,32.0,205,37,4.62,26,63.41%,3.25,8,18.60%,1.00,3,4.62%,0.38
19.0,Bann Blair Cameron,L,139490,2021,Canada,Canada,34.0,184,0,0.00,0,-,-,0,-,-,0,-,-
20.0,Szwarc Arthur,O,151871,2021,Canada,Canada,26.0,209,77,5.13,47,56.63%,3.13,20,23.26%,1.33,10,8.62%,0.67
21.0,Walsh Brett James,S,143745,2021,Canada,Canada,28.0,196,4,0.40,1,16.67%,0.10,3,25.00%,0.30,0,0.00%,0.00
23.0,Demyanenko Danny,MB,140042,2021,Canada,Canada,27.0,196,1,0.12,1,33.33%,0.12,0,0.00%,0.00,0,0.00%,0.00
,Glenn Hoag,COACH,N/A,2021,Canada,,,,,,,,,,,,,,
1.0,Chinenyeze Barthélémy,MB,152494,2021,France,France,24.0,204,111,6.53,84,55.26%,4.94,23,17.04%,1.35,4,2.01%,0.24
2.0,Grebennikov Jenia,L,119792,2021,France,France,31.0,188,0,0.00,0,-,-,0,-,-,0,-,-
4.0,Patry Jean,O,142694,2021,France,France,25.0,207,146,10.43,127,46.52%,9.07,8,14.04%,0.57,11,7.53%,0.79
6.0,Toniutti Benjamin,S,119804,2021,France,France,32.0,183,5,0.33,1,33.33%,0.07,3,9.68%,0.20,1,0.91%,0.07
7.0,Tillie Kevin,OH,124518,2021,France,France,31.0,200,110,6.88,96,52.46%,6.00,9,25.00%,0.56,5,4.00%,0.31
8.0,Lyneel Julien,OH,119798,2021,France,France,31.0,192,9,1.29,6,31.58%,0.86,1,50.00%,0.14,2,6.25%,0.29
9.0,Ngapeth Earvin,OH,119800,2021,France,France,31.0,194,134,11.17,111,49.33%,9.25,5,12.82%,0.42,18,11.25%,1.50
11.0,Brizard Antoine,S,136851,2021,France,France,27.0,196,49,3.06,26,65.00%,1.62,17,29.82%,1.06,6,4.03%,0.38
12.0,Boyer Stephen,O,142710,2021,France,France,25.0,196,127,8.47,113,50.22%,7.53,10,22.73%,0.67,4,4.40%,0.27
14.0,Le Goff Nicolas,MB,125073,2021,France,France,30.0,206,82,4.82,51,54.26%,3.00,28,25.93%,1.65,3,2.26%,0.18
16.0,Bultor Daryl,MB,142677,2021,France,France,26.0,197,71,4.18,52,56.52%,3.06,11,17.46%,0.65,8,7.69%,0.47
17.0,Clevenot Trevor,OH,132948,2021,France,France,27.0,199,114,8.14,92,48.42%,6.57,15,30.61%,1.07,7,5.47%,0.50
18.0,Rossard Thibault,OH,136867,2021,France,France,28.0,194,55,5.50,47,48.96%,4.70,0,0.00%,0.00,8,8.79%,0.80
19.0,Louati Yacine,OH,120735,2021,France,France,30.0,198,51,3.92,43,37.39%,3.31,4,18.18%,0.31,4,5.63%,0.31
20.0,Diez Benjamin,L,152506,2021,France,France,23.0,183,0,0.00,0,-,-,0,-,-,0,-,-
21.0,Faure Théo,O,163309,2021,France,France,22.0,202,37,7.40,29,49.15%,5.80,4,17.39%,0.80,4,10.53%,0.80
23.0,Meyer Léo,S,152514,2021,France,France,25.0,194,2,0.67,1,100%,0.33,1,33.33%,0.33,0,0.00%,0.00
24.0,Gueye Mousse,MB,181197,2021,France,France,25.0,198,11,0.69,8,57.14%,0.50,2,20.00%,0.12,1,8.33%,0.06
,Laurent TILLIE,COACH,N/A,2021,France,,,,,,,,,,,,,,
1.0,Fromm Christian,OH,119779,2021,Germany,Germany,31.0,204,71,4.73,66,44.00%,4.40,2,8.70%,0.13,3,4.55%,0.20
3.0,Schott Ruben,OH,136441,2021,Germany,Germany,27.0,193,106,7.07,85,40.67%,5.67,3,5.77%,0.20,18,10.11%,1.20
5.0,Reichert Moritz,OH,139386,2021,Germany,Germany,27.0,194,89,5.93,78,39.39%,5.20,7,21.88%,0.47,4,3.05%,0.27
6.0,Kaliberda Denys,OH,119775,2021,Germany,Germany,31.0,193,54,4.15,47,45.63%,3.62,5,26.32%,0.38,2,2.50%,0.15
7.0,Sossenheimer David,L,156599,2021,Germany,Germany,25.0,193,23,1.92,17,41.46%,1.42,1,8.33%,0.08,5,8.20%,0.42
8.0,Böhme Marcus,MB,116015,2021,Germany,Germany,36.0,212,29,2.23,25,59.52%,1.92,4,10.00%,0.31,0,0.00%,0.00
10.0,Zenger Julian,L,152470,2021,Germany,Germany,24.0,190,0,0.00,0,-,-,0,-,-,0,-,-
11.0,Kampa Lukas,S,116575,2021,Germany,Germany,35.0,196,-,-,-,-,-,-,-,-,-,-,-
13.0,Hirsch Simon,O,136253,2021,Germany,Germany,29.0,205,74,5.29,63,40.38%,4.50,8,21.62%,0.57,3,3.75%,0.21
15.0,Baxpöhler Noah,MB,156596,2021,Germany,Germany,28.0,210,15,1.50,11,68.75%,1.10,4,17.39%,0.40,0,0.00%,0.00
16.0,Burggräf Eric,S,162788,2021,Germany,Germany,23.0,184,2,0.13,0,-,-,0,-,-,2,11.76%,0.13
17.0,Zimmermann Jan,S,136442,2021,Germany,Germany,29.0,190,23,1.53,8,42.11%,0.53,8,12.70%,0.53,7,3.87%,0.47
18.0,Krage Florian,MB,162790,2021,Germany,Germany,25.0,203,74,5.69,50,55.56%,3.85,20,22.99%,1.54,4,3.12%,0.31
19.0,Röhrs Erik,OH,174660,2021,Germany,Germany,20.0,194,7,0.54,5,41.67%,0.38,0,0.00%,0.00,2,25.00%,0.15
20.0,Weber Linus,O,162082,2021,Germany,Germany,22.0,203,154,11.85,128,45.07%,9.85,14,25.00%,1.08,12,8.51%,0.92
21.0,Krick Tobias,MB,152349,2021,Germany,Germany,23.0,210,115,8.21,83,63.85%,5.93,28,22.58%,2.00,4,3.39%,0.29
25.0,Maase Lukas,MB,152352,2021,Germany,Germany,23.0,208,0,0.00,0,0.00%,0.00,0,0.00%,0.00,0,-,-
,Andrea Giani,COACH,N/A,2021,Germany,,,,,,,,,,,,,,
2.0,Ebadipour Ghara H. Milad,OH,136751,2021,Iran,Iran,28.0,196,99,7.62,82,40.20%,6.31,11,28.21%,0.85,6,4.26%,0.46
3.0,Abedini Reza,MB,150817,2021,Iran,Iran,30.0,203,18,1.64,8,66.67%,0.73,9,37.50%,0.82,1,2.50%,0.09
4.0,Marouflakrani Mir Saeid,S,117478,2021,Iran,Iran,36.0,189,10,0.77,8,40.00%,0.62,0,0.00%,0.00,2,1.82%,0.15
6.0,Mousavi Eraghi Seyed Mohammad,MB,118827,2021,Iran,Iran,34.0,203,103,7.36,66,54.55%,4.71,30,27.78%,2.14,7,5.65%,0.50
7.0,Fayazi D. Purya,OH,162173,2021,Iran,Iran,29.0,195,2,0.18,2,12.50%,0.18,0,0.00%,0.00,0,0.00%,0.00
8.0,Hazratpourtalatappeh Mohammadreza,L,163176,2021,Iran,Iran,22.0,187,0,0.00,0,-,-,0,-,-,0,-,-
9.0,Gholami Masoud,MB,142078,2021,Iran,Iran,31.0,204,63,4.20,41,53.95%,2.73,17,23.61%,1.13,5,3.82%,0.33
10.0,Ghafour Amir,O,124584,2021,Iran,Iran,30.0,202,36,7.20,33,56.90%,6.60,3,27.27%,0.60,0,0.00%,0.00
11.0,Kazemi Saber,O,164188,2021,Iran,Iran,23.0,205,177,12.64,152,44.71%,10.86,10,20.00%,0.71,15,9.43%,1.07
12.0,Sharifi Morteza,OH,152742,2021,Iran,Iran,22.0,193,26,2.36,21,42.00%,1.91,2,15.38%,0.18,3,10.34%,0.27
15.0,Mojarad Aliasghar,MB,152743,2021,Iran,Iran,24.0,205,42,3.82,25,56.82%,2.27,16,34.04%,1.45,1,1.56%,0.09
17.0,Salehi Meisam,OH,162557,2021,Iran,Iran,23.0,198,160,10.67,138,55.20%,9.20,14,25.93%,0.93,8,4.65%,0.53
18.0,Vadi Mohammad Taher,S,119750,2021,Iran,Iran,32.0,194,8,0.89,3,37.50%,0.33,3,27.27%,0.33,2,3.64%,0.22
21.0,Salehi Arman,L,181182,2021,Iran,Iran,29.0,180,0,0.00,0,-,-,0,-,-,0,-,-
22.0,Esfandiar Amirhossein,OH,152752,2021,Iran,Iran,23.0,209,77,5.50,60,47.62%,4.29,5,14.29%,0.36,12,10.81%,0.86
23.0,Saadat Bardia,O,168551,2021,Iran,Iran,19.0,205,75,5.36,68,50.37%,4.86,2,7.69%,0.14,5,9.09%,0.36
24.0,Karimisouchelmaei Javad,S,152755,2021,Iran,Iran,24.0,204,8,1.33,1,20.00%,0.17,4,57.14%,0.67,3,12.00%,0.50
,VLADIMIR ALEKNO,COACH,N/A,2021,Iran,,,,,,,,,,,,,,
1.0,Gardini Davide,OH,152422,2021,Italy,Italy,23.0,205,5,0.42,5,35.71%,0.42,0,0.00%,0.00,0,0.00%,0.00
7.0,Balaso Fabio,L,150436,2021,Italy,Italy,26.0,178,0,0.00,0,-,-,0,-,-,0,-,-
15.0,Sbertoli Riccardo,S,152370,2021,Italy,Italy,23.0,188,18,1.20,7,38.89%,0.47,6,10.17%,0.40,5,3.85%,0.33
18.0,Michieletto Alessandro,OH,171191,2021,Italy,Italy,20.0,205,181,12.07,152,50.00%,10.13,19,36.54%,1.27,10,5.75%,0.67
20.0,Nelli Gabriele,O,137823,2021,Italy,Italy,28.0,210,125,9.62,108,44.63%,8.31,5,9.09%,0.38,12,9.52%,0.92
21.0,Spirito Luca,S,143692,2021,Italy,Italy,28.0,196,17,1.13,5,29.41%,0.33,10,32.26%,0.67,2,2.99%,0.13
23.0,Pinali Giulio,O,162518,2021,Italy,Italy,24.0,199,106,7.07,92,51.11%,6.13,5,9.09%,0.33,9,9.00%,0.60
24.0,Cavuto Oreste,OH,152492,2021,Italy,Italy,25.0,196,49,3.27,45,45.92%,3.00,2,11.76%,0.13,2,4.17%,0.13
25.0,Vitelli Marco,MB,150435,2021,Italy,Italy,25.0,203,26,2.36,15,44.12%,1.36,8,22.22%,0.73,3,3.75%,0.27
26.0,Cortesia Lorenzo,MB,163028,2021,Italy,Italy,22.0,198,86,6.14,49,56.32%,3.50,28,24.78%,2.00,9,5.06%,0.64
27.0,Scanferla Leonardo,L,181128,2021,Italy,Italy,23.0,184,0,-,0,-,-,0,-,-,0,-,-
28.0,Recine Francesco,OH,163033,2021,Italy,Italy,23.0,186,133,8.87,117,41.49%,7.80,13,27.66%,0.87,3,2.48%,0.20
29.0,Bottolo Mattia,OH,163447,2021,Italy,Italy,22.0,196,89,5.93,68,35.79%,4.53,10,27.03%,0.67,11,10.00%,0.73
30.0,Mosca Leandro Ausibio,MB,174074,2021,Italy,Italy,21.0,208,69,4.93,47,55.95%,3.36,21,23.08%,1.50,1,0.88%,0.07
31.0,Federici Filippo,L,163025,2021,Italy,Italy,21.0,172,0,0.00,0,-,-,0,-,-,0,-,-
,Antonio Valentini,COACH,N/A,2021,Italy,,,,,,,,,,,,,,
1.0,Shimizu Kunihiro,O,118511,2021,Japan,Japan,35.0,193,111,8.54,103,47.25%,7.92,5,13.89%,0.38,3,2.97%,0.23
2.0,Onodera Taishi,MB,142565,2021,Japan,Japan,26.0,200,66,5.08,49,49.49%,3.77,13,21.67%,1.00,4,3.33%,0.31
3.0,Fujii Naonobu,S,162104,2021,Japan,Japan,30.0,183,5,0.56,2,50.00%,0.22,2,14.29%,0.22,1,1.25%,0.11
4.0,Otake Issei,O,142575,2021,Japan,Japan,26.0,202,54,9.00,49,50.00%,8.17,3,15.00%,0.50,2,6.25%,0.33
5.0,Fukuzawa Tatsuya,OH,114415,2021,Japan,Japan,35.0,189,33,2.36,33,40.24%,2.36,0,0.00%,0.00,0,0.00%,0.00
6.0,Yamauchi Akihiro,MB,146409,2021,Japan,Japan,28.0,204,60,4.00,45,51.72%,3.00,12,21.82%,0.80,3,2.52%,0.20
11.0,Nishida Yuji,O,163519,2021,Japan,Japan,22.0,187,41,8.20,36,51.43%,7.20,5,35.71%,1.00,0,0.00%,0.00
12.0,Sekita Masahiro,S,133009,2021,Japan,Japan,28.0,175,7,0.50,1,14.29%,0.07,2,8.00%,0.14,4,4.00%,0.29
13.0,Oya Masaki,S,142570,2021,Japan,Japan,26.0,178,0,0.00,0,0.00%,0.00,0,0.00%,0.00,0,0.00%,0.00
14.0,Ishikawa Yuki,OH,142568,2021,Japan,Japan,26.0,191,169,12.07,149,55.19%,10.64,11,17.74%,0.79,9,5.88%,0.64
15.0,Ri Haku,MB,146410,2021,Japan,Japan,31.0,193,42,2.80,30,55.56%,2.00,8,12.12%,0.53,4,3.96%,0.27
16.0,Takahashi Kentaro,MB,142561,2021,Japan,Japan,27.0,202,31,3.10,25,58.14%,2.50,6,28.57%,0.60,0,0.00%,0.00
17.0,Takanashi Kenta,OH,153365,2021,Japan,Japan,25.0,190,76,5.43,73,50.00%,5.21,2,12.50%,0.14,1,1.20%,0.07
19.0,Otsuka Tatsunori,OH,163516,2021,Japan,Japan,21.0,194,74,4.93,66,35.48%,4.40,6,20.69%,0.40,2,2.44%,0.13
20.0,Yamamoto Tomohiro,L,172893,2021,Japan,Japan,27.0,171,0,0.00,0,-,-,0,-,-,0,-,-
21.0,Takahashi Ran,OH,178762,2021,Japan,Japan,20.0,188,118,7.87,106,49.77%,7.07,5,18.52%,0.33,7,4.96%,0.47
24.0,Ogawa Tomohiro,L,180990,2021,Japan,Japan,25.0,176,0,0.00,0,-,-,0,-,-,0,-,-
,Yuichi NAKAGAICHI,COACH,N/A,2021,Japan,,,,,,,,,,,,,,
2.0,Keemink Wessel,S,141546,2021,Netherlands,Netherlands,28.0,197,10,1.00,3,30.00%,0.30,5,19.23%,0.50,2,2.47%,0.20
4.0,Ter Horst Thijs,OH,137345,2021,Netherlands,Netherlands,30.0,204,107,9.73,99,52.38%,9.00,5,16.13%,0.45,3,4.11%,0.27
5.0,van Der Ent Cornelis Luuc,MB,169921,2021,Netherlands,Netherlands,23.0,208,25,2.27,18,56.25%,1.64,6,11.11%,0.55,1,1.96%,0.09
6.0,Dronkers Just,L,156591,2021,Netherlands,Netherlands,28.0,187,0,0.00,0,-,-,0,-,-,0,-,-
7.0,Jorna Gijs,OH,131980,2021,Netherlands,Netherlands,32.0,196,3,0.50,3,14.29%,0.50,0,0.00%,0.00,0,0.00%,0.00
8.0,Plak Fabian,MB,156678,2021,Netherlands,Netherlands,24.0,198,57,4.38,46,58.23%,3.54,9,18.00%,0.69,2,2.30%,0.15
10.0,van Zeist Maikel,MB,176493,2021,Netherlands,Netherlands,27.0,200,17,1.42,12,46.15%,1.00,4,18.18%,0.33,1,2.33%,0.08
12.0,Tuinstra Bennie Junior,OH,170436,2021,Netherlands,Netherlands,21.0,200,135,9.64,118,39.86%,8.43,6,13.04%,0.43,11,6.11%,0.79
13.0,Ottevanger Steven,L,176460,2021,Netherlands,Netherlands,27.0,183,0,0.00,0,-,-,0,-,-,0,-,-
14.0,Abdel-Aziz Nimir,O,137498,2021,Netherlands,Netherlands,30.0,201,264,22.00,218,53.43%,18.17,10,15.62%,0.83,36,19.46%,3.00
15.0,van Solkema Gijs,S,164837,2021,Netherlands,Netherlands,23.0,193,2,0.17,1,50.00%,0.08,1,16.67%,0.08,0,0.00%,0.00
17.0,Parkinson Michael,MB,137337,2021,Netherlands,Netherlands,30.0,203,67,5.15,49,70.00%,3.77,16,21.33%,1.23,2,2.53%,0.15
18.0,Andringa Robbert,L,121992,2021,Netherlands,Netherlands,31.0,192,77,5.50,58,38.41%,4.14,10,22.73%,0.71,9,7.76%,0.64
19.0,de Weijer Freek,S,162642,2021,Netherlands,Netherlands,26.0,191,7,0.64,2,28.57%,0.18,4,13.79%,0.36,1,1.23%,0.09
21.0,van Schie Stijn,OH,162095,2021,Netherlands,Netherlands,27.0,203,11,0.92,9,26.47%,0.75,2,28.57%,0.17,0,0.00%,0.00
22.0,Wiltenburg Twan,MB,150703,2021,Netherlands,Netherlands,25.0,205,29,2.07,16,47.06%,1.14,6,12.50%,0.43,7,5.98%,0.50
25.0,van Tilburg Stijn,O,169923,2021,Netherlands,Netherlands,25.0,203,60,4.00,51,40.80%,3.40,2,7.41%,0.13,7,9.86%,0.47
,Roberto Piazza,COACH,N/A,2021,Netherlands,,,,,,,,,,,,,,
1.0,Nowakowski Piotr,MB,120245,2021,Poland,Poland,34.0,205,56,4.67,32,66.67%,2.67,21,25.00%,1.75,3,3.85%,0.25
2.0,Muzaj Maciej,O,156531,2021,Poland,Poland,27.0,208,53,4.82,37,40.66%,3.36,7,15.56%,0.64,9,14.29%,0.82
4.0,Komenda Marcin,S,153389,2021,Poland,Poland,25.0,198,1,0.33,1,100%,0.33,0,-,-,0,0.00%,0.00
5.0,Kaczmarek Lukasz,O,162105,2021,Poland,Poland,27.0,204,63,5.25,48,45.28%,4.00,13,37.14%,1.08,2,3.45%,0.17
6.0,Kurek Bartosz,O,115806,2021,Poland,Poland,33.0,205,112,10.18,97,50.79%,8.82,13,22.81%,1.18,2,2.25%,0.18
9.0,Leon Venero Wilfredo,OH,119646,2021,Poland,Poland,28.0,202,127,9.77,86,48.59%,6.62,9,30.00%,0.69,32,23.36%,2.46
10.0,Wojtaszek Damian,L,135322,2021,Poland,Poland,33.0,180,0,0.00,0,-,-,0,-,-,0,-,-
11.0,Drzyzga Fabian,S,118612,2021,Poland,Poland,32.0,196,22,1.29,2,28.57%,0.12,8,21.05%,0.47,12,7.95%,0.71
12.0,Lomacz Grzegorz,S,115794,2021,Poland,Poland,34.0,187,6,0.35,2,100%,0.12,3,13.64%,0.18,1,1.45%,0.06
13.0,Kubiak Michal,OH,115845,2021,Poland,Poland,34.0,191,88,7.33,78,43.58%,6.50,7,17.50%,0.58,3,2.40%,0.25
14.0,Sliwka Aleksander,OH,142679,2021,Poland,Poland,26.0,196,45,3.00,41,47.13%,2.73,2,14.29%,0.13,2,2.60%,0.13
15.0,Kochanowski Jakub,MB,152870,2021,Poland,Poland,24.0,199,61,5.08,45,61.64%,3.75,12,20.00%,1.00,4,4.30%,0.33
16.0,Semeniuk Kamil,OH,153395,2021,Poland,Poland,25.0,195,73,5.62,61,50.00%,4.69,11,34.38%,0.85,1,1.56%,0.08
17.0,Zatorski Pawel,L,118614,2021,Poland,Poland,31.0,184,0,0.00,0,-,-,0,-,-,0,-,-
20.0,Bieniek Mateusz,MB,150734,2021,Poland,Poland,27.0,210,106,8.15,67,56.78%,5.15,22,22.45%,1.69,17,11.11%,1.31
21.0,Fornal Tomasz,OH,152866,2021,Poland,Poland,24.0,198,45,3.75,35,58.33%,2.92,2,16.67%,0.17,8,16.67%,0.67
22.0,Bednorz Bartosz,OH,150742,2021,Poland,Poland,27.0,201,36,4.00,21,34.43%,2.33,7,46.67%,0.78,8,20.00%,0.89
77.0,Klos Karol,MB,118618,2021,Poland,Poland,32.0,201,40,3.64,26,66.67%,2.36,13,21.67%,1.18,1,1.47%,0.09
99.0,Huber Norbert,MB,152869,2021,Poland,Poland,23.0,204,23,1.92,14,63.64%,1.17,5,21.74%,0.42,4,16.00%,0.33
,Vital HEYNEN,COACH,N/A,2021,Poland,,,,,,,,,,,,,,
1.0,Podlesnykh Yaroslav,OH,168238,2021,Russia,Russia,27.0,198,67,4.79,54,44.63%,3.86,6,19.35%,0.43,7,6.80%,0.50
2.0,Vlasov Ilia,MB,142651,2021,Russia,Russia,26.0,212,79,5.27,50,59.52%,3.33,27,24.55%,1.80,2,2.90%,0.13
4.0,Volvich Artem,MB,119817,2021,Russia,Russia,32.0,208,100,6.67,67,67.68%,4.47,28,25.00%,1.87,5,3.18%,0.33
6.0,Baranov Evgeny,L,148521,2021,Russia,Russia,26.0,180,0,0.00,0,-,-,0,-,-,0,-,-
7.0,Volkov Dmitry,OH,142648,2021,Russia,Russia,26.0,201,114,8.14,93,50.27%,6.64,10,26.32%,0.71,11,8.66%,0.79
9.0,Iakovlev Ivan,MB,142657,2021,Russia,Russia,26.0,207,0,-,0,-,-,0,-,-,0,-,-
10.0,Bogdan Denis,OH,153362,2021,Russia,Russia,25.0,200,49,3.27,36,43.37%,2.40,7,21.21%,0.47,6,6.74%,0.40
11.0,Pankov Pavel,S,136632,2021,Russia,Russia,26.0,198,20,1.33,5,83.33%,0.33,9,20.00%,0.60,6,7.41%,0.40
13.0,Muserskiy Dmitriy,O,122265,2021,Russia,Russia,33.0,218,40,5.71,32,54.24%,4.57,5,20.00%,0.71,3,8.33%,0.43
15.0,Poletaev Victor,O,142635,2021,Russia,Russia,26.0,197,61,4.07,56,52.34%,3.73,2,8.00%,0.13,3,3.33%,0.20
17.0,Mikhaylov Maxim,O,117184,2021,Russia,Russia,34.0,202,201,14.36,167,51.70%,11.93,17,25.76%,1.21,17,9.14%,1.21
18.0,Kliuka Egor,OH,152885,2021,Russia,Russia,26.0,209,154,11.00,132,45.83%,9.43,12,19.05%,0.86,10,5.81%,0.71
20.0,Kurkaev Ilyas,MB,143711,2021,Russia,Russia,28.0,207,84,5.60,59,67.05%,3.93,21,25.00%,1.40,4,4.94%,0.27
24.0,Kobzar Igor,S,124794,2021,Russia,Russia,30.0,198,30,2.00,10,45.45%,0.67,7,11.11%,0.47,13,8.07%,0.87
27.0,Golubev Valentin,L,132391,2021,Russia,Russia,29.0,190,0,0.00,0,-,-,0,-,-,0,-,-
,Tuomas Sammelvuo,COACH,N/A,2021,Russia,,,,,,,,,,,,,,
2.0,Kovacevic Uros,OH,124926,2021,Serbia,Serbia,28.0,197,149,14.90,126,49.22%,12.60,16,25.81%,1.60,7,4.96%,0.70
3.0,Kapur Milorad,L,136360,2021,Serbia,Serbia,31.0,181,0,0.00,0,-,-,0,-,-,0,-,-
6.0,Pekovic Nikola,L,150383,2021,Serbia,Serbia,32.0,176,0,0.00,0,-,-,0,-,-,0,-,-
7.0,Krsmanovic Petar,MB,146579,2021,Serbia,Serbia,31.0,205,148,9.87,106,66.67%,7.07,32,21.77%,2.13,10,4.18%,0.67
8.0,Ivovic Marko,OH,132022,2021,Serbia,Serbia,31.0,194,190,12.67,158,51.97%,10.53,12,17.39%,0.80,20,8.97%,1.33
