No.,Player Name,Position,Player_ID,Year,Country_ID,Nationality,Age,Height,Total Points,Average by Match,Attack Points,Efficiency,Attack Avg Points,Block Points,Block Success,Block Avg Points,Serve Points,Serve Success,Serve Avg Points
7.0,Maar Stephen Timothy,OH,140061,2021,5821,Canada,27.0,201cm,49,4.90,40,41.24%,4.00,7,35.00%,0.70,2,5.26%,0.20
8.0,Walsh Brett James,S,143745,2021,5821,Canada,28.0,196cm,4,0.40,1,16.67%,0.10,3,25.00%,0.30,0,0.00%,0.00
10.0,Sclater Ryan Joseph,O,140428,2021,5821,Canada,28.0,200cm,97,6.47,85,46.96%,5.67,6,9.68%,0.40,6,6.19%,0.40
12.0,Van Berkel Lucas,MB,136296,2021,5821,Canada,30.0,210cm,59,4.21,38,60.32%,2.71,20,24.39%,1.43,1,0.99%,0.07
13.0,Cooper Samuel,OH,182679,2021,5821,Canada,20.0,200cm,-,-,-,-,-,-,-,-,-,-,-
14.0,Szwarc Arthur,O,151871,2021,5821,Canada,26.0,209cm,77,5.13,47,56.63%,3.13,20,23.26%,1.33,10,8.62%,0.67
18.0,Lui Justin,L,168925,2021,5821,Canada,21.0,178cm,-,-,-,-,-,-,-,-,-,-,-
97.0,Currie Landon,L,168923,2021,5821,Canada,22.0,174cm,-,-,-,-,-,-,-,-,-,-,-
99.0,Elser Mathias,OH,168908,2021,5821,Canada,20.0,198cm,-,-,-,-,-,-,-,-,-,-,-
,Tuomas Sammelvuo,COACH,N/A,2021,5821,,,,,,,,,,,,,,
1.0,Wang Dongchen,MB,173184,2021,5822,China,21.0,200cm,-,-,-,-,-,-,-,-,-,-,-
2.0,Jiang Chuan,O,142855,2021,5822,China,27.0,205cm,-,-,-,-,-,-,-,-,-,-,-
3.0,Wang Hebin,S,174297,2021,5822,China,22.0,188cm,-,-,-,-,-,-,-,-,-,-,-
5.0,Yang Yiming,L,174295,2021,5822,China,22.0,186cm,-,-,-,-,-,-,-,-,-,-,-
6.0,Yu Yuantai,OH,152518,2021,5822,China,24.0,186cm,-,-,-,-,-,-,-,-,-,-,-
8.0,Guo Cheng,S,164632,2021,5822,China,26.0,200cm,-,-,-,-,-,-,-,-,-,-,-
9.0,Li Yongzhen,MB,181103,2021,5822,China,23.0,198cm,-,-,-,-,-,-,-,-,-,-,-
14.0,Zhai Dejun,OH,174159,2021,5822,China,22.0,195cm,-,-,-,-,-,-,-,-,-,-,-
15.0,Peng Shikun,MB,168175,2021,5822,China,21.0,208cm,-,-,-,-,-,-,-,-,-,-,-
16.0,Qu Zongshuai,L,174158,2021,5822,China,23.0,186cm,-,-,-,-,-,-,-,-,-,-,-
18.0,Chen Leiyang,S,152511,2021,5822,China,23.0,198cm,-,-,-,-,-,-,-,-,-,-,-
20.0,Rao Shuhan,MB,142598,2021,5822,China,25.0,205cm,-,-,-,-,-,-,-,-,-,-,-
22.0,Zhang Jingyin,OH,168271,2021,5822,China,22.0,207cm,-,-,-,-,-,-,-,-,-,-,-
23.0,Wang Bin,OH,169310,2021,5822,China,20.0,195cm,-,-,-,-,-,-,-,-,-,-,-
,Sheng Wu,COACH,N/A,2021,5822,,,,,,,,,,,,,,
1.0,Masso Alvarez Jose Israel,MB,147273,2021,5823,Cuba,24.0,2cm,-,-,-,-,-,-,-,-,-,-,-
2.0,Mergarejo Hernandez Osniel Lazaro,OH,151814,2021,5823,Cuba,24.0,195cm,-,-,-,-,-,-,-,-,-,-,-
5.0,Concepcion Rojas Javier Octavio,MB,147263,2021,5823,Cuba,24.0,200cm,-,-,-,-,-,-,-,-,-,-,-
6.0,Thondike Mejias Christian Manuel,S,168412,2021,5823,Cuba,20.0,195cm,-,-,-,-,-,-,-,-,-,-,-
7.0,Garcia Alvarez Yonder Roman,L,132361,2021,5823,Cuba,29.0,183cm,-,-,-,-,-,-,-,-,-,-,-
